Ind,PH,EH
C0_DH001,-18.70512645,6.002936314
C0_DH002,-17.42852405,-13.42884497
C0_DH004,2.947389464,7.933367376
C0_DH005,14.75091313,14.26754344
C0_DH006,22.65602831,-7.630055702
C0_DH007,2.427096263,5.662292195
C0_DH008,-1.03377285,-22.17092876
C0_DH010,-18.86577965,-24.36577909
C0_DH011,-28.93372532,-12.33664557
C0_DH013,-21.48390421,-17.56785703
C0_DH014,7.53817584,5.73359853
C0_DH015,14.55028231,5.851395591
C0_DH016,-32.26778995,-21.138851
C0_DH017,1.444980037,-8.297573022
C0_DH018,-1.623905119,-38.68154372
C0_DH019,-11.85526034,-18.36568771
C0_DH020,11.41118821,4.857481057
C0_DH021,4.12101327,7.613610908
C0_DH022,-4.509730676,-1.426485601
C0_DH023,-0.861058202,1.68979869
C0_DH024,-14.22415705,-12.83399487
C0_DH025,-5.112178531,-5.486028216
C0_DH026,-8.804893442,-14.06410339
C0_DH027,-18.32645912,-4.344057173
C0_DH028,-20.07796352,-23.80798019
C0_DH029,-2.871986569,-4.963649093
C0_DH032,-12.5282016,10.04113972
C0_DH033,-21.41995464,-18.28761451
C0_DH034,21.79844761,10.40825398
C0_DH035,-28.22735599,-18.92225634
C0_DH036,-8.427102758,-3.739533148
C0_DH037,-2.882308514,3.951960078
C0_DH038,-34.9519485,-29.02455797
C0_DH039,-8.836029547,-6.695527296
C0_DH040,13.46167568,13.47868381
C0_DH041,-19.6621607,-12.24975596
C0_DH042,-13.6400336,-12.01233337
C0_DH043,-15.47838637,10.30519988
C0_DH044,-14.66426674,2.359944612
C0_DH045,5.541882306,10.11366788
C0_DH046,-12.27101512,11.1713373
C0_DH047,-27.86171748,-26.32123801
C0_DH048,-3.860632038,-12.44801223
C0_DH049,1.418679245,8.726017462
C0_DH050,-30.15247728,-17.8984057
C0_DH051,-3.965474362,-1.101845518
C0_DH052,-16.3433798,-17.70559691
C0_DH053,0.033599844,0.474744607
C0_DH054,8.129330857,16.56186396
C0_DH055,-12.78163541,-14.29048549
C0_DH056,7.420005882,-4.113356093
C0_DH058,-17.8575865,-17.73501906
C0_DH059,-2.794478233,-1.136619531
C0_DH060,9.082574488,-1.221284178
C0_DH061,3.737819306,0.6776109
C0_DH062,-14.67771335,2.243763647
C0_DH063,6.757021979,11.32181301
C0_DH064,-29.07000137,-21.37503616
C0_DH065,3.642894018,23.75086243
C0_DH066,7.70237007,-1.229885308
C0_DH067,12.71452199,12.46377392
C0_DH068,0.147222483,7.082743174
C0_DH069,-45.71124019,-30.71870528
C0_DH071,14.75733242,17.68557278
C0_DH072,-61.6225474,-27.66340807
C0_DH073,-14.24875245,-13.96972188
C0_DH075,12.71876012,3.476744049
C0_DH076,-13.04800571,-14.99815483
C0_DH077,17.44490969,20.30488682
C0_DH078,8.241810716,-17.52174815
C0_DH080,0.862698888,5.142878763
C0_DH081,-24.80171614,-12.54770508
C0_DH082,2.709834517,7.435966441
C0_DH083,4.942566067,1.88919622
C0_DH085,20.51174237,13.05536895
C0_DH086,-28.00706829,-18.3997441
C0_DH087,-0.021698145,15.01624215
C0_DH088,-4.987445754,13.87818399
C0_DH089,32.65416489,48.10954504
C0_DH090,-27.23437674,-23.8045615
C0_DH091,3.768072049,-3.332910349
C0_DH092,5.731869825,14.11847217
C0_DH093,-20.24292391,-13.82320869
C0_DH094,-17.50457408,-7.441784352
C0_DH095,4.167781122,1.635303593
C0_DH096,-27.60161425,-19.18207242
C0_DH098,-11.37044063,-14.29309323
C0_DH099,-8.984963195,4.707809579
C0_DH100,-43.50082516,-37.14822646
C0_DH102,3.747792917,-18.60975155
C0_DH103,-25.9065786,-8.295241121
C0_DH104,-1.823077342,-6.301811993
C0_DH106,-24.58536278,-15.48398978
C0_DH107,-34.70401454,-41.68679309
C0_DH108,-28.34210333,-21.14770598
C0_DH109,-16.36486943,-12.94812386
C0_DH110,-28.50355238,-17.69006973
C0_DH111,-8.761510394,-8.268259877
C0_DH112,-18.9282467,-4.085634226
C0_DH114,-16.96483657,-18.41541435
C0_DH115,-6.365015677,-9.492281073
C0_DH116,-12.14083396,-9.593642078
C0_DH117,1.571086012,3.325607817
C0_DH118,-25.9752939,-23.05093148
C0_DH119,8.387696538,-7.374440249
C0_DH120,-26.61890405,-14.95146347
C0_DH121,-7.221060205,9.931539408
C0_DH122,-3.003173551,-16.9486024
C0_DH123,29.1425356,20.23255704
C0_DH124,-10.67381094,4.080489524
C0_DH125,-2.837102369,-11.49835371
C0_DH127,-18.08632385,-5.343846056
C0_DH128,-7.11806055,-10.95742163
C0_DH130,-18.898194,-19.38528909
C0_DH131,-18.56684886,-4.14978213
C0_DH132,1.662776951,-4.90687997
C0_DH133,-5.04459858,2.386495935
C0_DH134,2.910452034,7.116073735
C0_DH135,-5.054930115,8.970163515
C0_DH136,14.09680564,13.60824535
C0_DH137,19.05359542,7.102762781
C0_DH138,3.669185035,0.899230563
C0_DH139,-7.465979447,-4.260936883
C0_DH140,-20.72232195,-7.817890829
C0_DH141,-38.28594008,-34.10104953
C0_DH143,-8.114020719,-14.65452768
C0_DH144,-2.737115317,6.093005114
C0_DH145,-44.26938354,-22.83587625
C0_DH146,8.862086069,5.488190706
C0_DH147,-11.39795934,-16.05389817
C0_DH148,-10.49831742,-5.84462446
C0_DH149,-26.88356993,-17.40109677
C0C17_DH001,-38.03743085,-30.24316669
C0C17_DH002,5.437857534,-1.462186626
C0C17_DH003,-2.485056109,-0.471007335
C0C17_DH005,-3.198816236,-8.109757412
C0C17_DH007,-13.82677045,-0.000533591
